index,title,certificate,genre,runtime,rating
2908,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
2909,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
2910,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
2911,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
2912,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
2913,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
2914,The Fallout,A,Drama,96 min,7
2915,The Black Phone,A,"Horror, Thriller",103 min,6.9
2916,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
2917,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
2918,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
2919,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
2920,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
2921,Encanto,U,"Animation, Comedy, Family",102 min,7.2
2922,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
2923,Old,UA,"Drama, Horror, Mystery",108 min,5.8
2924,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
2925,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
2926,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
2927,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
2928,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
2929,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
2930,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
2931,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
2932,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
2933,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
2934,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
2935,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
2936,Pleasure,R,Drama,109 min,6.4
2937,The Last Duel,A,"Action, Drama, History",152 min,7.4
2938,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2939,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2940,The Power of the Dog,16,"Drama, Western",126 min,6.8
2941,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2942,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2943,Pig,R,"Drama, Mystery",92 min,6.9
2944,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2945,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2946,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2947,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2948,Silent Hours,None,"Crime, Thriller",156 min,5.2
2949,Boiling Point,R,"Drama, Thriller",92 min,7.5
2950,The Road Dance,None,Drama,116 min,7
